700  [main] ERROR wdsr.exercise4.Main [] - Broker: localhost - Client: RAFZZ already connected from tcp://127.0.0.1:63761
774844 [main] INFO  wdsr.exercise4.Main [] - message 'test_237'
774844 [main] INFO  wdsr.exercise4.Main [] - message 'test_238'
774844 [main] INFO  wdsr.exercise4.Main [] - message 'test_239'
774844 [main] INFO  wdsr.exercise4.Main [] - message 'test_240'
774844 [main] INFO  wdsr.exercise4.Main [] - message 'test_241'
774844 [main] INFO  wdsr.exercise4.Main [] - message 'test_242'
774844 [main] INFO  wdsr.exercise4.Main [] - message 'test_243'
774844 [main] INFO  wdsr.exercise4.Main [] - message 'test_244'
774844 [main] INFO  wdsr.exercise4.Main [] - message 'test_245'
774844 [main] INFO  wdsr.exercise4.Main [] - message 'test_246'
774844 [main] INFO  wdsr.exercise4.Main [] - message 'test_247'
774844 [main] INFO  wdsr.exercise4.Main [] - message 'test_248'
774845 [main] INFO  wdsr.exercise4.Main [] - message 'test_249'
774845 [main] INFO  wdsr.exercise4.Main [] - message 'test_250'
774845 [main] INFO  wdsr.exercise4.Main [] - message 'test_251'
774845 [main] INFO  wdsr.exercise4.Main [] - message 'test_252'
774845 [main] INFO  wdsr.exercise4.Main [] - message 'test_253'
774845 [main] INFO  wdsr.exercise4.Main [] - message 'test_254'
774845 [main] INFO  wdsr.exercise4.Main [] - message 'test_255'
774845 [main] INFO  wdsr.exercise4.Main [] - message 'test_256'
774846 [main] INFO  wdsr.exercise4.Main [] - message 'test_257'
774846 [main] INFO  wdsr.exercise4.Main [] - message 'test_258'
774846 [main] INFO  wdsr.exercise4.Main [] - message 'test_259'
774846 [main] INFO  wdsr.exercise4.Main [] - message 'test_260'
774846 [main] INFO  wdsr.exercise4.Main [] - message 'test_261'
774846 [main] INFO  wdsr.exercise4.Main [] - message 'test_262'
774846 [main] INFO  wdsr.exercise4.Main [] - message 'test_263'
774846 [main] INFO  wdsr.exercise4.Main [] - message 'test_264'
774846 [main] INFO  wdsr.exercise4.Main [] - message 'test_265'
774846 [main] INFO  wdsr.exercise4.Main [] - message 'test_266'
774846 [main] INFO  wdsr.exercise4.Main [] - message 'test_267'
774846 [main] INFO  wdsr.exercise4.Main [] - message 'test_268'
774847 [main] INFO  wdsr.exercise4.Main [] - message 'test_269'
774847 [main] INFO  wdsr.exercise4.Main [] - message 'test_270'
774847 [main] INFO  wdsr.exercise4.Main [] - message 'test_271'
774847 [main] INFO  wdsr.exercise4.Main [] - message 'test_272'
774847 [main] INFO  wdsr.exercise4.Main [] - message 'test_273'
774847 [main] INFO  wdsr.exercise4.Main [] - message 'test_274'
774847 [main] INFO  wdsr.exercise4.Main [] - message 'test_275'
774847 [main] INFO  wdsr.exercise4.Main [] - message 'test_276'
774847 [main] INFO  wdsr.exercise4.Main [] - message 'test_277'
774847 [main] INFO  wdsr.exercise4.Main [] - message 'test_278'
774847 [main] INFO  wdsr.exercise4.Main [] - message 'test_279'
774847 [main] INFO  wdsr.exercise4.Main [] - message 'test_280'
774848 [main] INFO  wdsr.exercise4.Main [] - message 'test_281'
774848 [main] INFO  wdsr.exercise4.Main [] - message 'test_282'
774848 [main] INFO  wdsr.exercise4.Main [] - message 'test_283'
774848 [main] INFO  wdsr.exercise4.Main [] - message 'test_284'
774848 [main] INFO  wdsr.exercise4.Main [] - message 'test_285'
774848 [main] INFO  wdsr.exercise4.Main [] - message 'test_286'
774848 [main] INFO  wdsr.exercise4.Main [] - message 'test_287'
774848 [main] INFO  wdsr.exercise4.Main [] - message 'test_288'
774848 [main] INFO  wdsr.exercise4.Main [] - message 'test_289'
774848 [main] INFO  wdsr.exercise4.Main [] - message 'test_290'
774848 [main] INFO  wdsr.exercise4.Main [] - message 'test_291'
774849 [main] INFO  wdsr.exercise4.Main [] - message 'test_292'
774849 [main] INFO  wdsr.exercise4.Main [] - message 'test_293'
774849 [main] INFO  wdsr.exercise4.Main [] - message 'test_294'
774849 [main] INFO  wdsr.exercise4.Main [] - message 'test_295'
774849 [main] INFO  wdsr.exercise4.Main [] - message 'test_296'
774849 [main] INFO  wdsr.exercise4.Main [] - message 'test_297'
774849 [main] INFO  wdsr.exercise4.Main [] - message 'test_298'
774849 [main] INFO  wdsr.exercise4.Main [] - message 'test_299'
774849 [main] INFO  wdsr.exercise4.Main [] - message 'test_300'
774849 [main] INFO  wdsr.exercise4.Main [] - message 'test_301'
774849 [main] INFO  wdsr.exercise4.Main [] - message 'test_302'
774849 [main] INFO  wdsr.exercise4.Main [] - message 'test_303'
774850 [main] INFO  wdsr.exercise4.Main [] - message 'test_304'
774850 [main] INFO  wdsr.exercise4.Main [] - message 'test_305'
774850 [main] INFO  wdsr.exercise4.Main [] - message 'test_306'
774850 [main] INFO  wdsr.exercise4.Main [] - message 'test_307'
774850 [main] INFO  wdsr.exercise4.Main [] - message 'test_308'
774850 [main] INFO  wdsr.exercise4.Main [] - message 'test_309'
774850 [main] INFO  wdsr.exercise4.Main [] - message 'test_310'
774850 [main] INFO  wdsr.exercise4.Main [] - message 'test_311'
774850 [main] INFO  wdsr.exercise4.Main [] - message 'test_312'
774850 [main] INFO  wdsr.exercise4.Main [] - message 'test_313'
774850 [main] INFO  wdsr.exercise4.Main [] - message 'test_314'
774850 [main] INFO  wdsr.exercise4.Main [] - message 'test_315'
774850 [main] INFO  wdsr.exercise4.Main [] - message 'test_316'
774851 [main] INFO  wdsr.exercise4.Main [] - message 'test_317'
774851 [main] INFO  wdsr.exercise4.Main [] - message 'test_318'
774851 [main] INFO  wdsr.exercise4.Main [] - message 'test_319'
774851 [main] INFO  wdsr.exercise4.Main [] - message 'test_320'
774851 [main] INFO  wdsr.exercise4.Main [] - message 'test_321'
774851 [main] INFO  wdsr.exercise4.Main [] - message 'test_322'
774851 [main] INFO  wdsr.exercise4.Main [] - message 'test_323'
774851 [main] INFO  wdsr.exercise4.Main [] - message 'test_324'
774851 [main] INFO  wdsr.exercise4.Main [] - message 'test_325'
774851 [main] INFO  wdsr.exercise4.Main [] - message 'test_326'
774851 [main] INFO  wdsr.exercise4.Main [] - message 'test_327'
774851 [main] INFO  wdsr.exercise4.Main [] - message 'test_328'
774852 [main] INFO  wdsr.exercise4.Main [] - message 'test_329'
774852 [main] INFO  wdsr.exercise4.Main [] - message 'test_330'
774852 [main] INFO  wdsr.exercise4.Main [] - message 'test_331'
774852 [main] INFO  wdsr.exercise4.Main [] - message 'test_332'
774852 [main] INFO  wdsr.exercise4.Main [] - message 'test_333'
774852 [main] INFO  wdsr.exercise4.Main [] - message 'test_334'
774852 [main] INFO  wdsr.exercise4.Main [] - message 'test_335'
774852 [main] INFO  wdsr.exercise4.Main [] - message 'test_336'
774852 [main] INFO  wdsr.exercise4.Main [] - message 'test_337'
774852 [main] INFO  wdsr.exercise4.Main [] - message 'test_338'
774852 [main] INFO  wdsr.exercise4.Main [] - message 'test_339'
774852 [main] INFO  wdsr.exercise4.Main [] - message 'test_340'
774852 [main] INFO  wdsr.exercise4.Main [] - message 'test_341'
774853 [main] INFO  wdsr.exercise4.Main [] - message 'test_342'
774853 [main] INFO  wdsr.exercise4.Main [] - message 'test_343'
774853 [main] INFO  wdsr.exercise4.Main [] - message 'test_344'
774853 [main] INFO  wdsr.exercise4.Main [] - message 'test_345'
774853 [main] INFO  wdsr.exercise4.Main [] - message 'test_346'
774853 [main] INFO  wdsr.exercise4.Main [] - message 'test_347'
774853 [main] INFO  wdsr.exercise4.Main [] - message 'test_348'
774853 [main] INFO  wdsr.exercise4.Main [] - message 'test_349'
774853 [main] INFO  wdsr.exercise4.Main [] - message 'test_350'
774853 [main] INFO  wdsr.exercise4.Main [] - message 'test_351'
774853 [main] INFO  wdsr.exercise4.Main [] - message 'test_352'
774853 [main] INFO  wdsr.exercise4.Main [] - message 'test_353'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_354'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_355'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_356'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_357'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_358'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_359'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_360'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_361'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_362'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_363'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_364'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_365'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_366'
774854 [main] INFO  wdsr.exercise4.Main [] - message 'test_367'
774855 [main] INFO  wdsr.exercise4.Main [] - message 'test_368'
774855 [main] INFO  wdsr.exercise4.Main [] - message 'test_369'
774855 [main] INFO  wdsr.exercise4.Main [] - message 'test_370'
774855 [main] INFO  wdsr.exercise4.Main [] - message 'test_371'
774855 [main] INFO  wdsr.exercise4.Main [] - message 'test_372'
774855 [main] INFO  wdsr.exercise4.Main [] - message 'test_373'
774855 [main] INFO  wdsr.exercise4.Main [] - message 'test_374'
774855 [main] INFO  wdsr.exercise4.Main [] - message 'test_375'
774855 [main] INFO  wdsr.exercise4.Main [] - message 'test_376'
774855 [main] INFO  wdsr.exercise4.Main [] - message 'test_377'
774855 [main] INFO  wdsr.exercise4.Main [] - message 'test_378'
774855 [main] INFO  wdsr.exercise4.Main [] - message 'test_379'
774856 [main] INFO  wdsr.exercise4.Main [] - message 'test_380'
774856 [main] INFO  wdsr.exercise4.Main [] - message 'test_381'
774856 [main] INFO  wdsr.exercise4.Main [] - message 'test_382'
774856 [main] INFO  wdsr.exercise4.Main [] - message 'test_383'
774856 [main] INFO  wdsr.exercise4.Main [] - message 'test_384'
774856 [main] INFO  wdsr.exercise4.Main [] - message 'test_385'
774856 [main] INFO  wdsr.exercise4.Main [] - message 'test_386'
774856 [main] INFO  wdsr.exercise4.Main [] - message 'test_387'
774856 [main] INFO  wdsr.exercise4.Main [] - message 'test_388'
774856 [main] INFO  wdsr.exercise4.Main [] - message 'test_389'
774856 [main] INFO  wdsr.exercise4.Main [] - message 'test_390'
774856 [main] INFO  wdsr.exercise4.Main [] - message 'test_391'
774856 [main] INFO  wdsr.exercise4.Main [] - message 'test_392'
774857 [main] INFO  wdsr.exercise4.Main [] - message 'test_393'
774857 [main] INFO  wdsr.exercise4.Main [] - message 'test_394'
774857 [main] INFO  wdsr.exercise4.Main [] - message 'test_395'
774857 [main] INFO  wdsr.exercise4.Main [] - message 'test_396'
